id,x,y,deg
042_0,s0,s0,s291.6954569853418
042_1,s0.930196233,s0.063254536,s111.51719052473617
042_2,s1.20147037,s0,s291.6954569853418
042_3,s2.131666604,s0.063254536,s111.51719052473617
042_4,s2.402940741,s0,s291.6954569853418
042_5,s3.333136974,s0.063254536,s111.51719052473617
042_6,s0,s0.539674144,s291.6954569853418
042_7,s0.930196233,s0.60292868,s111.51719052473617
042_8,s1.20147037,s0.539674144,s291.6954569853418
042_9,s2.131666604,s0.60292868,s111.51719052473617
042_10,s2.402940741,s0.539674144,s291.6954569853418
042_11,s3.333136974,s0.60292868,s111.51719052473617
042_12,s0,s1.079348287,s291.6954569853418
042_13,s0.930196233,s1.142602823,s111.51719052473617
042_14,s1.20147037,s1.079348287,s291.6954569853418
042_15,s2.131666604,s1.142602823,s111.51719052473617
042_16,s2.402940741,s1.079348287,s291.6954569853418
042_17,s3.333136974,s1.142602823,s111.51719052473617
042_18,s0,s1.619022431,s291.6954569853418
042_19,s0.930196233,s1.682276967,s111.51719052473617
042_20,s1.20147037,s1.619022431,s291.6954569853418
042_21,s2.131666604,s1.682276967,s111.51719052473617
042_22,s2.402940741,s1.619022431,s291.6954569853418
042_23,s3.333136974,s1.682276967,s111.51719052473617
042_24,s0,s2.158696575,s291.6954569853418
042_25,s0.930196233,s2.221951111,s111.51719052473617
042_26,s1.20147037,s2.158696575,s291.6954569853418
042_27,s2.131666604,s2.221951111,s111.51719052473617
042_28,s2.402940741,s2.158696575,s291.6954569853418
042_29,s3.333136974,s2.221951111,s111.51719052473617
042_30,s0,s2.698370718,s291.6954569853418
042_31,s0.930196233,s2.761625254,s111.51719052473617
042_32,s1.20147037,s2.698370718,s291.6954569853418
042_33,s2.131666604,s2.761625254,s111.51719052473617
042_34,s2.402940741,s2.698370718,s291.6954569853418
042_35,s3.333136974,s2.761625254,s111.51719052473617
042_36,s0,s3.238044862,s291.6954569853418
042_37,s0.930196233,s3.301299398,s111.51719052473617
042_38,s1.20147037,s3.238044862,s291.6954569853418
042_39,s2.131666604,s3.301299398,s111.51719052473617
042_40,s2.402940741,s3.238044862,s291.6954569853418
042_41,s3.333136974,s3.301299398,s111.51719052473617
