id,x,y,deg
060_0,s0,s0,s261.0170619611945
060_1,s0.740129995,s0.287293074,s80.97136417583708
060_2,s0.903473652,s0,s261.0170619611945
060_3,s1.643603648,s0.287293074,s80.97136417583708
060_4,s1.806947304,s0,s261.0170619611945
060_5,s2.5470773,s0.287293074,s80.97136417583708
060_6,s2.710420956,s0,s261.0170619611945
060_7,s3.450550952,s0.287293074,s80.97136417583708
060_8,s3.613894609,s0,s261.0170619611945
060_9,s4.354024604,s0.287293074,s80.97136417583708
060_10,s0,s0.759218844,s261.0170619611945
060_11,s0.740129995,s1.046511918,s80.97136417583708
060_12,s0.903473652,s0.759218844,s261.0170619611945
060_13,s1.643603648,s1.046511918,s80.97136417583708
060_14,s1.806947304,s0.759218844,s261.0170619611945
060_15,s2.5470773,s1.046511918,s80.97136417583708
060_16,s2.710420956,s0.759218844,s261.0170619611945
060_17,s3.450550952,s1.046511918,s80.97136417583708
060_18,s3.613894609,s0.759218844,s261.0170619611945
060_19,s4.354024604,s1.046511918,s80.97136417583708
060_20,s0,s1.518437688,s261.0170619611945
060_21,s0.740129995,s1.805730762,s80.97136417583708
060_22,s0.903473652,s1.518437688,s261.0170619611945
060_23,s1.643603648,s1.805730762,s80.97136417583708
060_24,s1.806947304,s1.518437688,s261.0170619611945
060_25,s2.5470773,s1.805730762,s80.97136417583708
060_26,s2.710420956,s1.518437688,s261.0170619611945
060_27,s3.450550952,s1.805730762,s80.97136417583708
060_28,s3.613894609,s1.518437688,s261.0170619611945
060_29,s4.354024604,s1.805730762,s80.97136417583708
060_30,s0,s2.277656532,s261.0170619611945
060_31,s0.740129995,s2.564949606,s80.97136417583708
060_32,s0.903473652,s2.277656532,s261.0170619611945
060_33,s1.643603648,s2.564949606,s80.97136417583708
060_34,s1.806947304,s2.277656532,s261.0170619611945
060_35,s2.5470773,s2.564949606,s80.97136417583708
060_36,s2.710420956,s2.277656532,s261.0170619611945
060_37,s3.450550952,s2.564949606,s80.97136417583708
060_38,s3.613894609,s2.277656532,s261.0170619611945
060_39,s4.354024604,s2.564949606,s80.97136417583708
060_40,s0,s3.036875376,s261.0170619611945
060_41,s0.740129995,s3.32416845,s80.97136417583708
060_42,s0.903473652,s3.036875376,s261.0170619611945
060_43,s1.643603648,s3.32416845,s80.97136417583708
060_44,s1.806947304,s3.036875376,s261.0170619611945
060_45,s2.5470773,s3.32416845,s80.97136417583708
060_46,s2.710420956,s3.036875376,s261.0170619611945
060_47,s3.450550952,s3.32416845,s80.97136417583708
060_48,s3.613894609,s3.036875376,s261.0170619611945
060_49,s4.354024604,s3.32416845,s80.97136417583708
060_50,s0,s3.796094221,s261.0170619611945
060_51,s0.740129995,s4.083387294,s80.97136417583708
060_52,s0.903473652,s3.796094221,s261.0170619611945
060_53,s1.643603648,s4.083387294,s80.97136417583708
060_54,s1.806947304,s3.796094221,s261.0170619611945
060_55,s2.5470773,s4.083387294,s80.97136417583708
060_56,s2.710420956,s3.796094221,s261.0170619611945
060_57,s3.450550952,s4.083387294,s80.97136417583708
060_58,s3.613894609,s3.796094221,s261.0170619611945
060_59,s4.354024604,s4.083387294,s80.97136417583708
