id,x,y,deg
120_0,s0,s0,s259.4747543687218
120_1,s0.860472679,s0.190393777,s79.52627601815242
120_2,s1.029016236,s0,s259.4747543687218
120_3,s1.889488915,s0.190393777,s79.52627601815242
120_4,s2.058032472,s0,s259.4747543687218
120_5,s2.918505151,s0.190393777,s79.52627601815242
120_6,s3.087048708,s0,s259.4747543687218
120_7,s3.947521387,s0.190393777,s79.52627601815242
120_8,s4.116064944,s0,s259.4747543687218
120_9,s4.976537623,s0.190393777,s79.52627601815242
120_10,s5.14508118,s0,s259.4747543687218
120_11,s6.005553859,s0.190393777,s79.52627601815242
120_12,s0,s0.610877877,s259.4747543687218
120_13,s0.860472679,s0.801271655,s79.52627601815242
120_14,s1.029016236,s0.610877877,s259.4747543687218
120_15,s1.889488915,s0.801271655,s79.52627601815242
120_16,s2.058032472,s0.610877877,s259.4747543687218
120_17,s2.918505151,s0.801271655,s79.52627601815242
120_18,s3.087048708,s0.610877877,s259.4747543687218
120_19,s3.947521387,s0.801271655,s79.52627601815242
120_20,s4.116064944,s0.610877877,s259.4747543687218
120_21,s4.976537623,s0.801271655,s79.52627601815242
120_22,s5.14508118,s0.610877877,s259.4747543687218
120_23,s6.005553859,s0.801271655,s79.52627601815242
120_24,s0,s1.221755755,s259.4747543687218
120_25,s0.860472679,s1.412149532,s79.52627601815242
120_26,s1.029016236,s1.221755755,s259.4747543687218
120_27,s1.889488915,s1.412149532,s79.52627601815242
120_28,s2.058032472,s1.221755755,s259.4747543687218
120_29,s2.918505151,s1.412149532,s79.52627601815242
120_30,s3.087048708,s1.221755755,s259.4747543687218
120_31,s3.947521387,s1.412149532,s79.52627601815242
120_32,s4.116064944,s1.221755755,s259.4747543687218
120_33,s4.976537623,s1.412149532,s79.52627601815242
120_34,s5.14508118,s1.221755755,s259.4747543687218
120_35,s6.005553859,s1.412149532,s79.52627601815242
120_36,s0,s1.832633632,s259.4747543687218
120_37,s0.860472679,s2.023027409,s79.52627601815242
120_38,s1.029016236,s1.832633632,s259.4747543687218
120_39,s1.889488915,s2.023027409,s79.52627601815242
120_40,s2.058032472,s1.832633632,s259.4747543687218
120_41,s2.918505151,s2.023027409,s79.52627601815242
120_42,s3.087048708,s1.832633632,s259.4747543687218
120_43,s3.947521387,s2.023027409,s79.52627601815242
120_44,s4.116064944,s1.832633632,s259.4747543687218
120_45,s4.976537623,s2.023027409,s79.52627601815242
120_46,s5.14508118,s1.832633632,s259.4747543687218
120_47,s6.005553859,s2.023027409,s79.52627601815242
120_48,s0,s2.44351151,s259.4747543687218
120_49,s0.860472679,s2.633905287,s79.52627601815242
120_50,s1.029016236,s2.44351151,s259.4747543687218
120_51,s1.889488915,s2.633905287,s79.52627601815242
120_52,s2.058032472,s2.44351151,s259.4747543687218
120_53,s2.918505151,s2.633905287,s79.52627601815242
120_54,s3.087048708,s2.44351151,s259.4747543687218
120_55,s3.947521387,s2.633905287,s79.52627601815242
120_56,s4.116064944,s2.44351151,s259.4747543687218
120_57,s4.976537623,s2.633905287,s79.52627601815242
120_58,s5.14508118,s2.44351151,s259.4747543687218
120_59,s6.005553859,s2.633905287,s79.52627601815242
120_60,s0,s3.054389387,s259.4747543687218
120_61,s0.860472679,s3.244783164,s79.52627601815242
120_62,s1.029016236,s3.054389387,s259.4747543687218
120_63,s1.889488915,s3.244783164,s79.52627601815242
120_64,s2.058032472,s3.054389387,s259.4747543687218
120_65,s2.918505151,s3.244783164,s79.52627601815242
120_66,s3.087048708,s3.054389387,s259.4747543687218
120_67,s3.947521387,s3.244783164,s79.52627601815242
120_68,s4.116064944,s3.054389387,s259.4747543687218
120_69,s4.976537623,s3.244783164,s79.52627601815242
120_70,s5.14508118,s3.054389387,s259.4747543687218
120_71,s6.005553859,s3.244783164,s79.52627601815242
120_72,s0,s3.665267264,s259.4747543687218
120_73,s0.860472679,s3.855661042,s79.52627601815242
120_74,s1.029016236,s3.665267264,s259.4747543687218
120_75,s1.889488915,s3.855661042,s79.52627601815242
120_76,s2.058032472,s3.665267264,s259.4747543687218
120_77,s2.918505151,s3.855661042,s79.52627601815242
120_78,s3.087048708,s3.665267264,s259.4747543687218
120_79,s3.947521387,s3.855661042,s79.52627601815242
120_80,s4.116064944,s3.665267264,s259.4747543687218
120_81,s4.976537623,s3.855661042,s79.52627601815242
120_82,s5.14508118,s3.665267264,s259.4747543687218
