id,x,y,deg
056_0,s0,s0,s281.5373443965389
056_1,s-0.164032322,s-0.198997842,s101.60675870855208
056_2,s0.994962068,s0,s281.5373443965389
056_3,s0.830929745,s-0.198997842,s101.60675870855208
056_4,s1.989924135,s0,s281.5373443965389
056_5,s1.825891813,s-0.198997842,s101.60675870855208
056_6,s2.984886203,s0,s281.5373443965389
056_7,s2.820853881,s-0.198997842,s101.60675870855208
056_8,s0,s0.63673919,s281.5373443965389
056_9,s-0.164032322,s0.437741348,s101.60675870855208
056_10,s0.994962068,s0.63673919,s281.5373443965389
056_11,s0.830929745,s0.437741348,s101.60675870855208
056_12,s1.989924135,s0.63673919,s281.5373443965389
056_13,s1.825891813,s0.437741348,s101.60675870855208
056_14,s2.984886203,s0.63673919,s281.5373443965389
056_15,s2.820853881,s0.437741348,s101.60675870855208
056_16,s0,s1.273478381,s281.5373443965389
056_17,s-0.164032322,s1.074480539,s101.60675870855208
056_18,s0.994962068,s1.273478381,s281.5373443965389
056_19,s0.830929745,s1.074480539,s101.60675870855208
056_20,s1.989924135,s1.273478381,s281.5373443965389
056_21,s1.825891813,s1.074480539,s101.60675870855208
056_22,s2.984886203,s1.273478381,s281.5373443965389
056_23,s2.820853881,s1.074480539,s101.60675870855208
056_24,s0,s1.910217571,s281.5373443965389
056_25,s-0.164032322,s1.711219729,s101.60675870855208
056_26,s0.994962068,s1.910217571,s281.5373443965389
056_27,s0.830929745,s1.711219729,s101.60675870855208
056_28,s1.989924135,s1.910217571,s281.5373443965389
056_29,s1.825891813,s1.711219729,s101.60675870855208
056_30,s2.984886203,s1.910217571,s281.5373443965389
056_31,s2.820853881,s1.711219729,s101.60675870855208
056_32,s0,s2.546956762,s281.5373443965389
056_33,s-0.164032322,s2.347958919,s101.60675870855208
056_34,s0.994962068,s2.546956762,s281.5373443965389
056_35,s0.830929745,s2.347958919,s101.60675870855208
056_36,s1.989924135,s2.546956762,s281.5373443965389
056_37,s1.825891813,s2.347958919,s101.60675870855208
056_38,s2.984886203,s2.546956762,s281.5373443965389
056_39,s2.820853881,s2.347958919,s101.60675870855208
056_40,s0,s3.183695952,s281.5373443965389
056_41,s-0.164032322,s2.98469811,s101.60675870855208
056_42,s0.994962068,s3.183695952,s281.5373443965389
056_43,s0.830929745,s2.98469811,s101.60675870855208
056_44,s1.989924135,s3.183695952,s281.5373443965389
056_45,s1.825891813,s2.98469811,s101.60675870855208
056_46,s2.984886203,s3.183695952,s281.5373443965389
056_47,s2.820853881,s2.98469811,s101.60675870855208
056_48,s0,s3.820435142,s281.5373443965389
056_49,s-0.164032322,s3.6214373,s101.60675870855208
056_50,s0.994962068,s3.820435142,s281.5373443965389
056_51,s0.830929745,s3.6214373,s101.60675870855208
056_52,s1.989924135,s3.820435142,s281.5373443965389
056_53,s1.825891813,s3.6214373,s101.60675870855208
056_54,s2.984886203,s3.820435142,s281.5373443965389
056_55,s2.820853881,s3.6214373,s101.60675870855208
