id,x,y,deg
126_0,s0,s0,s253.76355250417737
126_1,s0.754717289,s0.203674117,s73.73970559702333
126_2,s0.906346431,s0,s253.76355250417737
126_3,s1.661063719,s0.203674117,s73.73970559702333
126_4,s1.812692861,s0,s253.76355250417737
126_5,s2.56741015,s0.203674117,s73.73970559702333
126_6,s2.719039292,s0,s253.76355250417737
126_7,s3.473756581,s0.203674117,s73.73970559702333
126_8,s3.625385723,s0,s253.76355250417737
126_9,s4.380103011,s0.203674117,s73.73970559702333
126_10,s4.531732153,s0,s253.76355250417737
126_11,s5.286449442,s0.203674117,s73.73970559702333
126_12,s5.438078584,s0,s253.76355250417737
126_13,s6.192795873,s0.203674117,s73.73970559702333
126_14,s0,s0.717401018,s253.76355250417737
126_15,s0.754717289,s0.921075135,s73.73970559702333
126_16,s0.906346431,s0.717401018,s253.76355250417737
126_17,s1.661063719,s0.921075135,s73.73970559702333
126_18,s1.812692861,s0.717401018,s253.76355250417737
126_19,s2.56741015,s0.921075135,s73.73970559702333
126_20,s2.719039292,s0.717401018,s253.76355250417737
126_21,s3.473756581,s0.921075135,s73.73970559702333
126_22,s3.625385723,s0.717401018,s253.76355250417737
126_23,s4.380103011,s0.921075135,s73.73970559702333
126_24,s4.531732153,s0.717401018,s253.76355250417737
126_25,s5.286449442,s0.921075135,s73.73970559702333
126_26,s5.438078584,s0.717401018,s253.76355250417737
126_27,s6.192795873,s0.921075135,s73.73970559702333
126_28,s0,s1.434802035,s253.76355250417737
126_29,s0.754717289,s1.638476153,s73.73970559702333
126_30,s0.906346431,s1.434802035,s253.76355250417737
126_31,s1.661063719,s1.638476153,s73.73970559702333
126_32,s1.812692861,s1.434802035,s253.76355250417737
126_33,s2.56741015,s1.638476153,s73.73970559702333
126_34,s2.719039292,s1.434802035,s253.76355250417737
126_35,s3.473756581,s1.638476153,s73.73970559702333
126_36,s3.625385723,s1.434802035,s253.76355250417737
126_37,s4.380103011,s1.638476153,s73.73970559702333
126_38,s4.531732153,s1.434802035,s253.76355250417737
126_39,s5.286449442,s1.638476153,s73.73970559702333
126_40,s5.438078584,s1.434802035,s253.76355250417737
126_41,s6.192795873,s1.638476153,s73.73970559702333
126_42,s0,s2.152203053,s253.76355250417737
126_43,s0.754717289,s2.35587717,s73.73970559702333
126_44,s0.906346431,s2.152203053,s253.76355250417737
126_45,s1.661063719,s2.35587717,s73.73970559702333
126_46,s1.812692861,s2.152203053,s253.76355250417737
126_47,s2.56741015,s2.35587717,s73.73970559702333
126_48,s2.719039292,s2.152203053,s253.76355250417737
126_49,s3.473756581,s2.35587717,s73.73970559702333
126_50,s3.625385723,s2.152203053,s253.76355250417737
126_51,s4.380103011,s2.35587717,s73.73970559702333
126_52,s4.531732153,s2.152203053,s253.76355250417737
126_53,s5.286449442,s2.35587717,s73.73970559702333
126_54,s5.438078584,s2.152203053,s253.76355250417737
126_55,s6.192795873,s2.35587717,s73.73970559702333
126_56,s0,s2.86960407,s253.76355250417737
126_57,s0.754717289,s3.073278188,s73.73970559702333
126_58,s0.906346431,s2.86960407,s253.76355250417737
126_59,s1.661063719,s3.073278188,s73.73970559702333
126_60,s1.812692861,s2.86960407,s253.76355250417737
126_61,s2.56741015,s3.073278188,s73.73970559702333
126_62,s2.719039292,s2.86960407,s253.76355250417737
126_63,s3.473756581,s3.073278188,s73.73970559702333
126_64,s3.625385723,s2.86960407,s253.76355250417737
126_65,s4.380103011,s3.073278188,s73.73970559702333
126_66,s4.531732153,s2.86960407,s253.76355250417737
126_67,s5.286449442,s3.073278188,s73.73970559702333
126_68,s5.438078584,s2.86960407,s253.76355250417737
126_69,s6.192795873,s3.073278188,s73.73970559702333
126_70,s0,s3.587005088,s253.76355250417737
126_71,s0.754717289,s3.790679205,s73.73970559702333
126_72,s0.906346431,s3.587005088,s253.76355250417737
126_73,s1.661063719,s3.790679205,s73.73970559702333
126_74,s1.812692861,s3.587005088,s253.76355250417737
126_75,s2.56741015,s3.790679205,s73.73970559702333
126_76,s2.719039292,s3.587005088,s253.76355250417737
126_77,s3.473756581,s3.790679205,s73.73970559702333
126_78,s3.625385723,s3.587005088,s253.76355250417737
126_79,s4.380103011,s3.790679205,s73.73970559702333
126_80,s4.531732153,s3.587005088,s253.76355250417737
126_81,s5.286449442,s3.790679205,s73.73970559702333
126_82,s5.438078584,s3.587005088,s253.76355250417737
126_83,s6.192795873,s3.790679205,s73.73970559702333
126_84,s0,s4.304406106,s253.76355250417737
126_85,s0.754717289,s4.508080223,s73.73970559702333
126_86,s0.906346431,s4.304406106,s253.76355250417737
126_87,s1.661063719,s4.508080223,s73.73970559702333
126_88,s1.812692861,s4.304406106,s253.76355250417737
126_89,s2.56741015,s4.508080223,s73.73970559702333
126_90,s2.719039292,s4.304406106,s253.76355250417737
126_91,s3.473756581,s4.508080223,s73.73970559702333
126_92,s3.625385723,s4.304406106,s253.76355250417737
126_93,s4.380103011,s4.508080223,s73.73970559702333
126_94,s4.531732153,s4.304406106,s253.76355250417737
126_95,s5.286449442,s4.508080223,s73.73970559702333
126_96,s5.438078584,s4.304406106,s253.76355250417737
126_97,s6.192795873,s4.508080223,s73.73970559702333
126_98,s0,s5.021807123,s253.76355250417737
126_99,s0.754717289,s5.225481241,s73.73970559702333
126_100,s0.906346431,s5.021807123,s253.76355250417737
126_101,s1.661063719,s5.225481241,s73.73970559702333
126_102,s1.812692861,s5.021807123,s253.76355250417737
126_103,s2.56741015,s5.225481241,s73.73970559702333
126_104,s2.719039292,s5.021807123,s253.76355250417737
126_105,s3.473756581,s5.225481241,s73.73970559702333
126_106,s3.625385723,s5.021807123,s253.76355250417737
126_107,s4.380103011,s5.225481241,s73.73970559702333
126_108,s4.531732153,s5.021807123,s253.76355250417737
126_109,s5.286449442,s5.225481241,s73.73970559702333
126_110,s5.438078584,s5.021807123,s253.76355250417737
126_111,s6.192795873,s5.225481241,s73.73970559702333
126_112,s0,s5.739208141,s253.76355250417737
126_113,s0.754717289,s5.942882258,s73.73970559702333
126_114,s0.906346431,s5.739208141,s253.76355250417737
126_115,s1.661063719,s5.942882258,s73.73970559702333
126_116,s1.812692861,s5.739208141,s253.76355250417737
126_117,s2.56741015,s5.942882258,s73.73970559702333
126_118,s2.719039292,s5.739208141,s253.76355250417737
126_119,s3.473756581,s5.942882258,s73.73970559702333
126_120,s3.625385723,s5.739208141,s253.76355250417737
126_121,s4.380103011,s5.942882258,s73.73970559702333
126_122,s4.531732153,s5.739208141,s253.76355250417737
126_123,s5.286449442,s5.942882258,s73.73970559702333
126_124,s5.438078584,s5.739208141,s253.76355250417737
126_125,s6.192795873,s5.942882258,s73.73970559702333
