id,x,y,deg
044_0,s1.838627421008,s1.023805390369,s34.019455150415
044_1,s0.745967372848,s1.422750560656,s112.768175462096
044_2,s0.456133698447,s1.970871633148,s149.518787825674
044_3,s1.675420518229,s0.213479657018,s331.484086462842
044_4,s0.869683830763,s1.681871718354,s302.434581640196
044_5,s0.362338448257,s0.394539202293,s26.828099908232
044_6,s0.853556063858,s0.787876804682,s69.595215986157
044_7,s1.219391444318,s1.081439231334,s351.804362878033
044_8,s1.141474837201,s0.573390574698,s287.437845591408
044_9,s1.684395308657,s1.919617102005,s211.551354726362
044_10,s0.719752219113,s0.325696472744,s246.776140140082
044_11,s1.756015152753,s2.985088192544,s23.154301355620
044_12,s0.753336616505,s3.437008444861,s110.100621245652
044_13,s0.332596204252,s3.912595994143,s156.753560279642
044_14,s1.823422978995,s2.234964811015,s342.302208873590
044_15,s0.891133271569,s3.768466074132,s295.586551669399
044_16,s0.329137552392,s2.361341518910,s20.666572979323
044_17,s0.826885290401,s2.806182246640,s65.771373681104
044_18,s1.173974594694,s3.136965884174,s345.414591746221
044_19,s1.087449896612,s2.588054908115,s281.166312033997
044_20,s1.728608878606,s3.912609609593,s200.020717249858
044_21,s0.669981873757,s2.273586143624,s257.691287577999
044_22,s3.774491258688,s1.025493034852,s24.423501194873
044_23,s2.751993612798,s1.417521171066,s113.278500518502
044_24,s2.431995844574,s1.997836229923,s156.201728656430
044_25,s3.658447408005,s0.207953751089,s324.970060770919
044_26,s2.849759680551,s1.713095272050,s297.122621906561
044_27,s2.419378141764,s0.376598040169,s27.458242236700
044_28,s2.881914723447,s0.812792129839,s70.109436867895
044_29,s3.154760864421,s1.151680487525,s339.226514471291
044_30,s3.188272987440,s0.588436738582,s284.126671277453
044_31,s3.805681436220,s1.876526192797,s203.627929112847
044_32,s2.764921116070,s0.325223470854,s246.749978749073
044_33,s3.798725703493,s3.042126376700,s25.339944488016
044_34,s2.778430374845,s3.420074386722,s108.875963397788
044_35,s2.369511043955,s3.911693716293,s155.312875869637
044_36,s3.684813369553,s2.249013015113,s326.528056903421
044_37,s2.884484496118,s3.775207703972,s295.763909140013
044_38,s2.417733817925,s2.426745740425,s24.367595335031
044_39,s2.906226699726,s2.819857318215,s67.333411953523
044_40,s3.160366695304,s3.166855147402,s338.752877244841
044_41,s3.168487853566,s2.616609405621,s283.861497623514
044_42,s3.776120326044,s3.912744414724,s205.339103795859
044_43,s2.776343947260,s2.347862121176,s251.750494597895
