id,x,y,deg
119_0,s0.854231396000,s0.196153050000,s79.816519020661
119_1,s1.022484955000,s0.000000000000,s259.813220704290
119_2,s1.876716350000,s0.196153050000,s79.816519020661
119_3,s2.044969909000,s0.000000000000,s259.813220704290
119_4,s2.899201305000,s0.196153050000,s79.816519020661
119_5,s3.067454864000,s0.000000000000,s259.813220704290
119_6,s3.921686259000,s0.196153050000,s79.816519020661
119_7,s4.089939818000,s0.000000000000,s259.813220704290
119_8,s4.944171214000,s0.196153050000,s79.816519020661
119_9,s5.112424773000,s0.000000000000,s259.813220704290
119_10,s5.966656169000,s0.196153050000,s79.816519020661
119_11,s0.000000000000,s0.611110692000,s259.813220704290
119_12,s0.854231396000,s0.807263742000,s79.816519020661
119_13,s1.022484955000,s0.611110692000,s259.813220704290
119_14,s1.876716350000,s0.807263742000,s79.816519020661
119_15,s2.044969909000,s0.611110692000,s259.813220704290
119_16,s2.899201305000,s0.807263742000,s79.816519020661
119_17,s3.067454864000,s0.611110692000,s259.813220704290
119_18,s3.921686259000,s0.807263742000,s79.816519020661
119_19,s4.089939818000,s0.611110692000,s259.813220704290
119_20,s4.944171214000,s0.807263742000,s79.816519020661
119_21,s5.112424773000,s0.611110692000,s259.813220704290
119_22,s5.966656169000,s0.807263742000,s79.816519020661
119_23,s0.000000000000,s1.222221385000,s259.813220704290
119_24,s0.854231396000,s1.418374435000,s79.816519020661
119_25,s1.022484955000,s1.222221385000,s259.813220704290
119_26,s1.876716350000,s1.418374435000,s79.816519020661
119_27,s2.044969909000,s1.222221385000,s259.813220704290
119_28,s2.899201305000,s1.418374435000,s79.816519020661
119_29,s3.067454864000,s1.222221385000,s259.813220704290
119_30,s3.921686259000,s1.418374435000,s79.816519020661
119_31,s4.089939818000,s1.222221385000,s259.813220704290
119_32,s4.944171214000,s1.418374435000,s79.816519020661
119_33,s5.112424773000,s1.222221385000,s259.813220704290
119_34,s5.966656169000,s1.418374435000,s79.816519020661
119_35,s0.000000000000,s1.833332077000,s259.813220704290
119_36,s0.854231396000,s2.029485127000,s79.816519020661
119_37,s1.022484955000,s1.833332077000,s259.813220704290
119_38,s1.876716350000,s2.029485127000,s79.816519020661
119_39,s2.044969909000,s1.833332077000,s259.813220704290
119_40,s2.899201305000,s2.029485127000,s79.816519020661
119_41,s3.067454864000,s1.833332077000,s259.813220704290
119_42,s3.921686259000,s2.029485127000,s79.816519020661
119_43,s4.089939818000,s1.833332077000,s259.813220704290
119_44,s4.944171214000,s2.029485127000,s79.816519020661
119_45,s5.112424773000,s1.833332077000,s259.813220704290
119_46,s5.966656169000,s2.029485127000,s79.816519020661
119_47,s0.000000000000,s2.444442769000,s259.813220704290
119_48,s0.854231396000,s2.640595819000,s79.816519020661
119_49,s1.022484955000,s2.444442769000,s259.813220704290
119_50,s1.876716350000,s2.640595819000,s79.816519020661
119_51,s2.044969909000,s2.444442769000,s259.813220704290
119_52,s2.899201305000,s2.640595819000,s79.816519020661
119_53,s3.067454864000,s2.444442769000,s259.813220704290
119_54,s3.921686259000,s2.640595819000,s79.816519020661
