id,x,y,deg
079_0,s0.853944348000,s0.403292856000,s99.266213521684
079_1,s1.025176255000,s0.000000000000,s279.224374734754
079_2,s1.879120603000,s0.403292856000,s99.266213521684
079_3,s2.050352511000,s0.000000000000,s279.224374734754
079_4,s2.904296858000,s0.403292856000,s99.266213521684
079_5,s3.075528766000,s0.000000000000,s279.224374734754
079_6,s3.929473114000,s0.403292856000,s99.266213521684
079_7,s4.100705021000,s0.000000000000,s279.224374734754
079_8,s4.954649369000,s0.403292856000,s99.266213521684
079_9,s0.000000000000,s0.612069389000,s279.224374734754
079_10,s0.853944348000,s1.015362245000,s99.266213521684
079_11,s1.025176255000,s0.612069389000,s279.224374734754
079_12,s1.879120603000,s1.015362245000,s99.266213521684
079_13,s2.050352511000,s0.612069389000,s279.224374734754
079_14,s2.904296858000,s1.015362245000,s99.266213521684
079_15,s3.075528766000,s0.612069389000,s279.224374734754
079_16,s3.929473114000,s1.015362245000,s99.266213521684
079_17,s4.100705021000,s0.612069389000,s279.224374734754
079_18,s4.954649369000,s1.015362245000,s99.266213521684
079_19,s0.000000000000,s1.224138779000,s279.224374734754
079_20,s0.853944348000,s1.627431634000,s99.266213521684
079_21,s1.025176255000,s1.224138779000,s279.224374734754
079_22,s1.879120603000,s1.627431634000,s99.266213521684
079_23,s2.050352511000,s1.224138779000,s279.224374734754
079_24,s2.904296858000,s1.627431634000,s99.266213521684
079_25,s3.075528766000,s1.224138779000,s279.224374734754
079_26,s3.929473114000,s1.627431634000,s99.266213521684
079_27,s4.100705021000,s1.224138779000,s279.224374734754
079_28,s4.954649369000,s1.627431634000,s99.266213521684
079_29,s0.000000000000,s1.836208168000,s279.224374734754
079_30,s0.853944348000,s2.239501024000,s99.266213521684
079_31,s1.025176255000,s1.836208168000,s279.224374734754
079_32,s1.879120603000,s2.239501024000,s99.266213521684
079_33,s2.050352511000,s1.836208168000,s279.224374734754
079_34,s2.904296858000,s2.239501024000,s99.266213521684
079_35,s3.075528766000,s1.836208168000,s279.224374734754
079_36,s3.929473114000,s2.239501024000,s99.266213521684
079_37,s4.100705021000,s1.836208168000,s279.224374734754
079_38,s4.954649369000,s2.239501024000,s99.266213521684
079_39,s0.000000000000,s2.448277557000,s279.224374734754
079_40,s0.853944348000,s2.851570413000,s99.266213521684
079_41,s1.025176255000,s2.448277557000,s279.224374734754
079_42,s1.879120603000,s2.851570413000,s99.266213521684
079_43,s2.050352511000,s2.448277557000,s279.224374734754
079_44,s2.904296858000,s2.851570413000,s99.266213521684
079_45,s3.075528766000,s2.448277557000,s279.224374734754
079_46,s3.929473114000,s2.851570413000,s99.266213521684
079_47,s4.100705021000,s2.448277557000,s279.224374734754
079_48,s4.954649369000,s2.851570413000,s99.266213521684
079_49,s0.000000000000,s3.060346947000,s279.224374734754
079_50,s0.853944348000,s3.463639802000,s99.266213521684
079_51,s1.025176255000,s3.060346947000,s279.224374734754
079_52,s1.879120603000,s3.463639802000,s99.266213521684
079_53,s2.050352511000,s3.060346947000,s279.224374734754
079_54,s2.904296858000,s3.463639802000,s99.266213521684
079_55,s3.075528766000,s3.060346947000,s279.224374734754
079_56,s3.929473114000,s3.463639802000,s99.266213521684
079_57,s4.100705021000,s3.060346947000,s279.224374734754
079_58,s4.954649369000,s3.463639802000,s99.266213521684
079_59,s0.000000000000,s3.672416336000,s279.224374734754
079_60,s0.853944348000,s4.075709192000,s99.266213521684
079_61,s1.025176255000,s3.672416336000,s279.224374734754
079_62,s1.879120603000,s4.075709192000,s99.266213521684
079_63,s2.050352511000,s3.672416336000,s279.224374734754
079_64,s2.904296858000,s4.075709192000,s99.266213521684
079_65,s3.075528766000,s3.672416336000,s279.224374734754
079_66,s3.929473114000,s4.075709192000,s99.266213521684
079_67,s4.100705021000,s3.672416336000,s279.224374734754
079_68,s4.954649369000,s4.075709192000,s99.266213521684
079_69,s0.000000000000,s4.284485725000,s279.224374734754
079_70,s0.853944348000,s4.687778581000,s99.266213521684
079_71,s1.025176255000,s4.284485725000,s279.224374734754
079_72,s1.879120603000,s4.687778581000,s99.266213521684
079_73,s2.050352511000,s4.284485725000,s279.224374734754
079_74,s2.904296858000,s4.687778581000,s99.266213521684
079_75,s3.075528766000,s4.284485725000,s279.224374734754
079_76,s3.929473114000,s4.687778581000,s99.266213521684
079_77,s4.100705021000,s4.284485725000,s279.224374734754
079_78,s4.954649369000,s4.687778581000,s99.266213521684
